event_id,timestamp,event_type,user_id,details,session_id
evt_20260107184403661742,2026-01-07T18:44:03.661764,app_start,current_user,{},current_session
evt_20260107195616745295,2026-01-07T19:56:16.745317,app_start,current_user,{},current_session
evt_20260107205334482084,2026-01-07T20:53:34.482107,app_start,current_user,{},current_session
evt_20260107210325839617,2026-01-07T21:03:25.839636,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107211245346591,2026-01-07T21:12:45.346617,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107212909844474,2026-01-07T21:29:09.844499,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107214207560421,2026-01-07T21:42:07.560447,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107215243784952,2026-01-07T21:52:43.784978,app_start,current_user,{},current_session
evt_20260107215257659406,2026-01-07T21:52:57.659434,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107220131831995,2026-01-07T22:01:31.832016,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107220416829705,2026-01-07T22:04:16.829728,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107220713312982,2026-01-07T22:07:13.313006,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260107223502153649,2026-01-07T22:35:02.153670,app_start,current_user,{},current_session
evt_20260107225008601425,2026-01-07T22:50:08.601474,app_start,current_user,{},current_session
evt_20260107225541658566,2026-01-07T22:55:41.658612,app_start,current_user,{},current_session
evt_20260107230530682823,2026-01-07T23:05:30.682874,app_start,current_user,{},current_session
evt_20260107230913929206,2026-01-07T23:09:13.929225,app_start,current_user,{},current_session
evt_20260107231652879501,2026-01-07T23:16:52.879557,app_start,current_user,{},current_session
evt_20260107231722700649,2026-01-07T23:17:22.700696,app_start,current_user,{},current_session
evt_20260113185906673874,2026-01-13T18:59:06.673908,app_start,current_user,{},current_session
evt_20260113193533399828,2026-01-13T19:35:33.399872,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260113194518490857,2026-01-13T19:45:18.490894,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260113194650332718,2026-01-13T19:46:50.332763,app_start,current_user,{},current_session
evt_20260113194704196768,2026-01-13T19:47:04.196798,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': False}",current_session
evt_20260113194908329188,2026-01-13T19:49:08.329227,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260113195029968363,2026-01-13T19:50:29.968408,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
evt_20260113195039162407,2026-01-13T19:50:39.162442,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': False}",current_session
evt_20260113200423804828,2026-01-13T20:04:23.804885,question_analysis_start,current_user,"{'model': 'flash', 'question_index': 1, 'beta_mode': True}",current_session
